"LocationId","LocationCode","LocationName","EffectiveStartDate","EffectiveEndDate","ActionReasonCode","ActionReason","ActiveStatus","ActiveStatusMeaning","SetId","SetCode","SetName","Description","InventoryOrganizationId","InventoryOrganizationName","OfficialLanguageCode","OfficialLanguageMeaning","EmailAddress","GeoHierarchyNodeCode","GeoHierarchyNodeName","MainPhoneCountryCode","MainPhoneAreaCode","MainPhoneNumber","MainPhoneExtension","FaxCountryCode","FaxAreaCode","FaxNumber","FaxExtension","OtherPhoneCountryCode","OtherPhoneAreaCode","OtherPhoneNumber","OtherPhoneExtension","ShipToSiteFlag","ShipToLocationId","ShipToLocationCode","ShipToLocationName","OfficeSiteFlag","BillToSiteFlag","ReceivingSiteFlag","DesignatedReceiverId","DesignatedReceiverNumber","DesignatedReceiverName","CreatedBy","CreationDate","LastUpdatedBy","LastUpdateDate","GradeLadderId","EffectiveStartDate","EffectiveEndDate","Name","ActiveStatus","GradeSetId","GradeTypeCode","GradeType","SetId","SetCode","SetName"
300000127695611,"UNDP-ET","UNDP Ethiopia","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UNDP Ethiopia Country Office",,,,,,,,,,,,,,,,,,,,true,300000127695611,"UNDP-ET","UNDP Ethiopia",true,true,true,,,,"mrinalini.sharma@undp.org","2021-04-23T13:59:02+00:00","ravikant.thota@undp.org","2021-04-23T17:36:47+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000127696086,"UNDP-PSU","UNDP Procurement Support Unit","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UNDP Procurement Support Unit",,,"US","American English",,,,"1","212","906-5000",,"1","212","906-5364",,,,,,true,300000127696086,"UNDP-PSU","UNDP Procurement Support Unit",true,true,true,,,,"mrinalini.sharma@undp.org","2021-04-23T14:11:06+00:00","ravikant.thota@undp.org","2021-04-27T06:22:07+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000129939006,"UNSSC-HQ","United Nations System Staff College Headquarters","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","United Nations System Staff College Headquarters",,,,,,,,,,,,,,,,,,,,true,300000129939006,"UNSSC-HQ","United Nations System Staff College Headquarters",true,true,true,,,,"mrinalini.sharma@undp.org","2021-04-23T14:18:39+00:00","mrinalini.sharma@undp.org","2021-04-23T14:24:41.242+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000002437925,"UNDP-VN","UNDP Viet Nam","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UNDP Viet Nam Country Office",,,,,,,,,,,,,,,,,,,,true,300000002437925,"UNDP-VN","UNDP Viet Nam",true,true,true,,,,"karuna.ganji@undp.org","2021-05-04T19:18:24.100+00:00","karuna.ganji@undp.org","2021-05-04T19:18:32.924+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000002437952,"UNWOMEN-CN","UNW China","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UN Women China",,,,,,,,,,,,,,,,,,,,true,300000002437952,"UNWOMEN-CN","UNW China",true,true,true,,,,"karuna.ganji@undp.org","2021-05-04T19:18:34.443+00:00","karuna.ganji@undp.org","2021-05-04T19:18:34.798+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000002437971,"UNWOMEN-ROWCA","UNW West & Central Africa Region","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UN Women West & Central Africa Region",,,,,,,,,,,,,,,,,,,,true,300000002437971,"UNWOMEN-ROWCA","UNW West & Central Africa Region",true,true,true,,,,"karuna.ganji@undp.org","2021-05-04T19:18:35.143+00:00","karuna.ganji@undp.org","2021-05-04T19:18:35.325+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000002437985,"UNWOMEN-LR","UNW Liberia","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UN Women Liberia",,,,,,,,,,,,,,,,,,,,true,300000002437985,"UNWOMEN-LR","UNW Liberia",true,true,true,,,,"karuna.ganji@undp.org","2021-05-04T19:18:35.593+00:00","karuna.ganji@undp.org","2021-05-04T19:18:35.751+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000002437996,"UNWOMEN-MA","UNW Morocco","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UN Women Morocco",,,,,,,,,,,,,,,,,,,,true,300000002437996,"UNWOMEN-MA","UNW Morocco",true,true,true,,,,"karuna.ganji@undp.org","2021-05-04T19:18:36.030+00:00","karuna.ganji@undp.org","2021-05-04T19:18:36.313+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000130006787,"UNWOMEN-SPRED","UNW Strategy, Planning, Resources and Effectiveness Division","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UN Women Strategy, Planning, Resources and Effectiveness Division",,,,,,,,,,,,,,,,,,,,true,300000130006787,"UNWOMEN-SPRED","UNW Strategy, Planning, Resources and Effectiveness Division",true,true,true,,,,"karuna.ganji@undp.org","2021-05-04T19:18:36.558+00:00","karuna.ganji@undp.org","2021-05-04T19:18:36.738+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
300000130006808,"UNWOMEN-GE","UNW Georgia","1951-01-01","4712-12-31",,,"A","Active",0,"COMMON","Common Set","UN Women Georgia",,,,,,,,,,,,,,,,,,,,true,300000130006808,"UNWOMEN-GE","UNW Georgia",true,true,true,,,,"karuna.ganji@undp.org","2021-05-04T19:18:37.075+00:00","karuna.ganji@undp.org","2021-05-04T19:18:37.225+00:00",,"1951-01-01","4712-12-31",,"A",,,,0,"COMMON","Common Set"
