"GradeId","EffectiveStartDate","EffectiveEndDate","GradeCode","Name","ActiveStatus","SetId","SetCode","SetName"
300000229761013,"1951-01-01","4712-12-31","A1","A1","A",0,"COMMON","Common Set"
300000229761395,"1951-01-01","4712-12-31","A2","A2","A",0,"COMMON","Common Set"
300000229761058,"1951-01-01","4712-12-31","A3","A3","A",0,"COMMON","Common Set"
300000229761216,"1951-01-01","4712-12-31","A4","A4","A",0,"COMMON","Common Set"
300000229762243,"1951-01-01","4712-12-31","A5","A5","A",0,"COMMON","Common Set"
300000229761591,"1951-01-01","4712-12-31","ADM","ADM","A",0,"COMMON","Common Set"
300000229761087,"1951-01-01","4712-12-31","AL1","AL1","A",0,"COMMON","Common Set"
300000229761424,"1951-01-01","4712-12-31","AL2","AL2","A",0,"COMMON","Common Set"
300000229760535,"1951-01-01","4712-12-31","AL3","AL3","A",0,"COMMON","Common Set"
300000229762022,"1951-01-01","4712-12-31","AL4","AL4","A",0,"COMMON","Common Set"
300000229760253,"1951-01-01","4712-12-31","ASG","ASG","A",0,"COMMON","Common Set"
300000229762284,"1951-01-01","4712-12-31","CE","CE","A",0,"COMMON","Common Set"
300000229761317,"1951-01-01","4712-12-31","CF","CF","A",0,"COMMON","Common Set"
300000229761821,"1951-01-01","4712-12-31","CP","CP","A",0,"COMMON","Common Set"
300000229760441,"1951-01-01","4712-12-31","CS","CS","A",0,"COMMON","Common Set"
300000229760446,"1951-01-01","4712-12-31","CV","CV","A",0,"COMMON","Common Set"
300000229761914,"1951-01-01","4712-12-31","D1","D1","A",0,"COMMON","Common Set"
300000229761735,"1951-01-01","4712-12-31","D2","D2","A",0,"COMMON","Common Set"
300000229762061,"1951-01-01","4712-12-31","EN","EN","A",0,"COMMON","Common Set"
300000229761246,"1951-01-01","4712-12-31","FS1","FS1","A",0,"COMMON","Common Set"
300000229762107,"1951-01-01","4712-12-31","FS2","FS2","A",0,"COMMON","Common Set"
300000229760893,"1951-01-01","4712-12-31","FS3","FS3","A",0,"COMMON","Common Set"
300000229761767,"1951-01-01","4712-12-31","FS4","FS4","A",0,"COMMON","Common Set"
300000229762398,"1951-01-01","4712-12-31","FS5","FS5","A",0,"COMMON","Common Set"
300000229762610,"1951-01-01","4712-12-31","FS6","FS6","A",0,"COMMON","Common Set"
300000229761953,"1951-01-01","4712-12-31","G","G","A",0,"COMMON","Common Set"
300000229761855,"1951-01-01","4712-12-31","G1","G1","A",0,"COMMON","Common Set"
300000229761052,"1951-01-01","4712-12-31","G1A","G1A","A",0,"COMMON","Common Set"
300000229760531,"1951-01-01","4712-12-31","G1B","G1B","A",0,"COMMON","Common Set"
300000229762068,"1951-01-01","4712-12-31","G2","G2","A",0,"COMMON","Common Set"
300000229761984,"1951-01-01","4712-12-31","G2A","G2A","A",0,"COMMON","Common Set"
300000229760315,"1951-01-01","4712-12-31","G2B","G2B","A",0,"COMMON","Common Set"
300000229761440,"1951-01-01","4712-12-31","G3","G3","A",0,"COMMON","Common Set"
300000229761251,"1951-01-01","4712-12-31","G3A","G3A","A",0,"COMMON","Common Set"
300000229761126,"1951-01-01","4712-12-31","G3B","G3B","A",0,"COMMON","Common Set"
300000229762461,"1951-01-01","4712-12-31","G3C","G3C","A",0,"COMMON","Common Set"
300000229760555,"1951-01-01","4712-12-31","G4","G4","A",0,"COMMON","Common Set"
300000229760585,"1951-01-01","4712-12-31","G4A","G4A","A",0,"COMMON","Common Set"
300000229761338,"1951-01-01","4712-12-31","G5","G5","A",0,"COMMON","Common Set"
300000229760217,"1951-01-01","4712-12-31","G6","G6","A",0,"COMMON","Common Set"
300000229762472,"1951-01-01","4712-12-31","G7","G7","A",0,"COMMON","Common Set"
300000229760099,"1951-01-01","4712-12-31","G8","G8","A",0,"COMMON","Common Set"
300000229761282,"1951-01-01","4712-12-31","G9","G9","A",0,"COMMON","Common Set"
300000229760369,"1951-01-01","4712-12-31","GNX","GNX","A",0,"COMMON","Common Set"
300000229760516,"1951-01-01","4712-12-31","GP","GP","A",0,"COMMON","Common Set"
300000229762273,"1951-01-01","4712-12-31","I01","I01","A",0,"COMMON","Common Set"
300000229762675,"1951-01-01","4712-12-31","I02","I02","A",0,"COMMON","Common Set"
300000229760639,"1951-01-01","4712-12-31","I03","I03","A",0,"COMMON","Common Set"
300000229760975,"1951-01-01","4712-12-31","I04","I04","A",0,"COMMON","Common Set"
300000229762169,"1951-01-01","4712-12-31","I05","I05","A",0,"COMMON","Common Set"
300000229761002,"1951-01-01","4712-12-31","I06","I06","A",0,"COMMON","Common Set"
300000229760507,"1951-01-01","4712-12-31","I07","I07","A",0,"COMMON","Common Set"
300000229762013,"1951-01-01","4712-12-31","I08","I08","A",0,"COMMON","Common Set"
300000229761017,"1951-01-01","4712-12-31","I09","I09","A",0,"COMMON","Common Set"
300000229760997,"1951-01-01","4712-12-31","I10","I10","A",0,"COMMON","Common Set"
300000229762166,"1951-01-01","4712-12-31","I11","I11","A",0,"COMMON","Common Set"
300000229762213,"1951-01-01","4712-12-31","I12","I12","A",0,"COMMON","Common Set"
300000229762639,"1951-01-01","4712-12-31","I13","I13","A",0,"COMMON","Common Set"
300000229762179,"1951-01-01","4712-12-31","I14","I14","A",0,"COMMON","Common Set"
300000229762186,"1951-01-01","4712-12-31","IB","IB","A",0,"COMMON","Common Set"
300000229761991,"1951-01-01","4712-12-31","IN","IN","A",0,"COMMON","Common Set"
300000229760701,"1951-01-01","4712-12-31","JE","JE","A",0,"COMMON","Common Set"
300000229761482,"1951-01-01","4712-12-31","L1","L1","A",0,"COMMON","Common Set"
300000229761616,"1951-01-01","4712-12-31","L2","L2","A",0,"COMMON","Common Set"
300000229762358,"1951-01-01","4712-12-31","L3","L3","A",0,"COMMON","Common Set"
